"Year","Zone","Vaccine","# Immunized","# Eligible","% Coverage","95% CI"
"2014-15","CENTRAL","TDAP","3,735","3,998","93.4%","92.6-94.1"
"2014-15","CENTRAL","MEN-C-C","3,789","3,998","94.8%","94.0-95.4"
"2014-15","CENTRAL","HBV - Dose 1","3,448","3,998","86.2%","85.1-87.3"
"2014-15","CENTRAL","HBV - Dose 2","2,768","3,998","69.2%","67.8-70.6"
"2014-15","CENTRAL","HPV - Dose 1","1,771","1,957","90.5%","89.1-91.7"
"2014-15","CENTRAL","HPV - Dose 2","1,628","1,957","83.2%","81.5-84.8"
"2014-15","CENTRAL","HPV - Dose 3","1,410","1,957","72%","70.0-74.0"
"2014-15","NOVA SCOTIA","TDAP","8,417","8,989","93.6%","93.1-94.1"
"2014-15","NOVA SCOTIA","MEN-C-C","8,445","8,989","93.9%","93.4-94.4"
"2014-15","NOVA SCOTIA","HBV - Dose 1","7,802","8,989","86.8%","86.1-87.5"
"2014-15","NOVA SCOTIA","HBV - Dose 2","6,724","8,989","74.8%","73.9-75.7"
"2014-15","NOVA SCOTIA","HPV - Dose 1","3,877","4,413","87.9%","86.9-88.8"
"2014-15","NOVA SCOTIA","HPV - Dose 2","3,671","4,413","83.2%","82.1-84.3"
"2014-15","NOVA SCOTIA","HPV - Dose 3","3,336","4,413","75.6%","74.3-76.8"
"2013-14","WESTERN","TDAP","1,836","1,930","95.1%","94.1-96.0"
"2013-14","WESTERN","MEN-C-C","1,813","1,930","93.9%","92.8-94.9"
"2013-14","WESTERN","HBV - Dose 1","1,687","1,930","87.4%","85.9-88.8"
"2013-14","WESTERN","HBV - Dose 2","1,544","1,930","80%","78.2-81.7"
"2013-14","WESTERN","HPV - Dose 1","799","923","86.6%","84.2-88.6"
"2013-14","WESTERN","HPV - Dose 2","756","923","81.9%","79.2-84.3"
"2013-14","WESTERN","HPV - Dose 3","706","923","76.5%","73.6-79.1"
"2013-14","NORTHERN","TDAP","1,502","1,581","95%","93.8-96.0"
"2013-14","NORTHERN","MEN-C-C","1,530","1,581","96.8%","95.8-97.5"
"2013-14","NORTHERN","HBV - Dose 1","1,416","1,581","89.6%","88.0-91.0"
"2013-14","NORTHERN","HBV - Dose 2","1,310","1,581","82.9%","80.9-84.6"
"2013-14","NORTHERN","HPV - Dose 1","729","782","93.2%","91.2-94.8"
"2013-14","NORTHERN","HPV - Dose 2","693","782","88.6%","86.2-90.7"
"2013-14","NORTHERN","HPV - Dose 3","652","782","83.4%","80.6-85.8"
"2013-14","EASTERN","TDAP","1,464","1,642","89.2%","87.6-90.6"
"2013-14","EASTERN","MEN-C-C","1,490","1,642","90.7%","89.2-92.1"
"2013-14","EASTERN","HBV - Dose 1","1,418","1,642","86.4%","84.6-87.9"
"2013-14","EASTERN","HBV - Dose 2","1,292","1,642","78.7%","76.6-80.6"
"2013-14","EASTERN","HPV - Dose 1","698","802","87%","84.5-89.2"
"2013-14","EASTERN","HPV - Dose 2","671","802","83.7%","80.9-86.1"
"2013-14","EASTERN","HPV - Dose 3","618","802","77.1%","74.0-79.8"
"2013-14","CENTRAL","TDAP","3,847","4,112","93.6%","92.8-94.3"
"2013-14","CENTRAL","MEN-C-C","3,846","4,112","93.5%","92.7-94.2"
"2013-14","CENTRAL","HBV - Dose 1","3,302","4,112","80.3%","79.1-81.5"
"2013-14","CENTRAL","HBV - Dose 2","2,822","4,112","68.6%","67.2-70.0"
"2013-14","CENTRAL","HPV - Dose 1","1,780","2,004","88.8%","87.4-90.1"
"2013-14","CENTRAL","HPV - Dose 2","1,693","2,004","84.5%","82.8-86.0"
"2013-14","CENTRAL","HPV - Dose 3","1,409","2,004","70.3%","68.3-72.3"
"2013-14","NOVA SCOTIA","TDAP","8,649","9,265","93.4%","92.8-93.8"
"2013-14","NOVA SCOTIA","MEN-C-C","8,679","9,265","93.7%","93.2-94.2"
"2013-14","NOVA SCOTIA","HBV - Dose 1","7,823","9,265","84.4%","83.7-85.2"
"2013-14","NOVA SCOTIA","HBV - Dose 2","6,968","9,265","75.2%","74.3-76.1"
"2013-14","NOVA SCOTIA","HPV - Dose 1","4,006","4,511","88.8%","87.9-89.7"
"2013-14","NOVA SCOTIA","HPV - Dose 2","3,813","4,511","84.5%","83.4-85.6"
"2013-14","NOVA SCOTIA","HPV - Dose 3","3,385","4,511","75%","73.8-76.3"
"2012-13","WESTERN","TDAP","1,866","1,978","94.3%","93.2-95.3"
"2012-13","WESTERN","MEN-C-C","1,833","1,978","92.7%","91.4-93.7"
"2012-13","WESTERN","HBV - Dose 1","1,764","1,978","89.2%","87.7-90.5"
"2012-13","WESTERN","HBV - Dose 2","1,651","1,978","83.5%","81.8-85.0"
"2012-13","WESTERN","HPV - Dose 1","835","988","84.5%","82.1-86.6"
"2012-13","WESTERN","HPV - Dose 2","807","988","81.7%","79.1-84.0"
"2012-13","WESTERN","HPV - Dose 3","778","988","78.7%","76.1-81.2"
"2012-13","NORTHERN","TDAP","1,520","1,631","93.2%","91.9-94.3"
"2012-13","NORTHERN","MEN-C-C","1,517","1,631","93%","91.7-94.1"
"2012-13","NORTHERN","HBV - Dose 1","1,497","1,631","91.8%","90.4-93.0"
"2012-13","NORTHERN","HBV - Dose 2","1,403","1,631","86%","84.3-87.6"
"2012-13","NORTHERN","HPV - Dose 1","709","797","89%","86.6-91.0"
"2012-13","NORTHERN","HPV - Dose 2","695","797","87.2%","84.7-89.3"
"2012-13","NORTHERN","HPV - Dose 3","666","797","83.6%","80.8-86.0"
"2012-13","EASTERN","TDAP","1,548","1,763","87.8%","86.2-89.3"
"2012-13","EASTERN","MEN-C-C","1,545","1,763","87.6%","86.0-89.1"
"2012-13","EASTERN","HBV - Dose 1","1,484","1,763","84.2%","82.4-85.8"
"2012-13","EASTERN","HBV - Dose 2","1,382","1,763","78.4%","76.4-80.2"
"2012-13","EASTERN","HPV - Dose 1","703","867","81.1%","78.3-83.6"
"2012-13","EASTERN","HPV - Dose 2","686","867","79.1%","76.3-81.7"
"2012-13","EASTERN","HPV - Dose 3","645","867","74.4%","71.4-77.2"
"2012-13","CENTRAL","TDAP","3,837","4,173","91.9%","91.1-92.7"
"2012-13","CENTRAL","MEN-C-C","3,788","4,173","90.8%","89.9-91.6"
"2012-13","CENTRAL","HBV - Dose 1","3,527","4,173","84.5%","83.4-85.6"
"2012-13","CENTRAL","HBV - Dose 2","3,111","4,173","74.6%","73.2-75.8"
"2012-13","CENTRAL","HPV - Dose 1","1,799","2,033","88.5%","87.0-89.8"
"2012-13","CENTRAL","HPV - Dose 2","1,737","2,033","85.4%","83.8-86.9"
"2012-13","CENTRAL","HPV - Dose 3","1,529","2,033","75.2%","73.3-77.0"
"2012-13","NOVA SCOTIA","TDAP","8,771","9,545","91.9%","91.3-92.4"
"2012-13","NOVA SCOTIA","MEN-C-C","8,683","9,545","91%","90.3-91.5"
"2012-13","NOVA SCOTIA","HBV - Dose 1","8,272","9,545","86.7%","86.0-87.3"
"2012-13","NOVA SCOTIA","HBV - Dose 2","7,547","9,545","79.1%","78.2-79.9"
"2012-13","NOVA SCOTIA","HPV - Dose 1","4,046","4,685","86.4%","85.3-87.3"
"2012-13","NOVA SCOTIA","HPV - Dose 2","3,925","4,685","83.8%","82.7-84.8"
"2012-13","NOVA SCOTIA","HPV - Dose 3","3,618","4,685","77.2%","76.0-78.4"
"2021-22","WESTERN","HBV","1,371","1,788","76.68%","74.66-78.58"
"2021-22","NORTHERN","HBV","1,274","1,603","79.48%","77.43-81.38"
"2021-22","EASTERN","HBV","1,104","1,504","73.4%","71.11-75.58"
"2021-22","CENTRAL","HBV","3,688","4,448","82.91%","81.78-83.99"
"2021-22","NOVA SCOTIA","HBV","7,437","9,343","79.6%","78.77-80.4"
"2021-22","WESTERN","HPV","1,410","1,788","78.86%","76.91-80.69"
"2021-22","NORTHERN","HPV","1,293","1,603","80.66%","78.66-82.52"
"2021-22","EASTERN","HPV","1,127","1,504","74.93%","72.68-77.06"
"2021-22","CENTRAL","HPV","3,781","4,448","85%","83.93-86.02"
"2021-22","NOVA SCOTIA","HPV","7,611","9,343","81.46%","80.66-82.24"
"2021-22","WESTERN","MEN-C-ACYW-135","1,542","1,788","86.24%","84.57-87.76"
"2021-22","NORTHERN","MEN-C-ACYW-135","1,425","1,603","88.9%","87.26-90.34"
"2021-22","EASTERN","MEN-C-ACYW-135","1,269","1,504","84.38%","82.45-86.12"
"2021-22","CENTRAL","MEN-C-ACYW-135","4,135","4,448","92.96%","92.17-93.68"
"2021-22","NOVA SCOTIA","MEN-C-ACYW-135","8,371","9,343","89.6%","88.98-90.2"
"2021-22","WESTERN","TDAP","1,478","1,788","82.66%","80.84-84.35"
"2021-22","NORTHERN","TDAP","1,355","1,603","84.53%","82.67-86.22"
"2021-22","EASTERN","TDAP","1,148","1,504","76.33%","74.12-78.41"
"2021-22","CENTRAL","TDAP","3,956","4,448","88.94%","87.98-89.83"
"2021-22","NOVA SCOTIA","TDAP","7,937","9,343","84.95%","84.21-85.66"
